State,Map Type,Avg Degree,Median Degree
or,t,5.534465534465535,5.0
ut,t,5.446927374301676,5.0
ks,t,5.230398069963812,5.0
nm,t,5.330065359477124,5.0
ok,t,5.261410788381743,5.0
la,t,5.563400576368876,5.0
wa,t,5.589686098654709,5.0
ny,t,5.485862132692663,5.0
ms,t,5.4168564920273345,5.0
wy,t,4.975,5.0
de,t,5.320610687022901,5.0
vt,t,5.191709844559585,5.0
mt,t,5.266457680250784,5.0
tx,t,5.381090487238979,5.0
va,t,5.517743403093721,5.0
ma,t,5.650617283950617,5.0
ky,t,5.480857580398163,5.0
il,t,5.346401225114855,5.0
az,t,5.204532577903683,5.0
pa,t,5.5954730121880445,5.0
ia,t,5.241071428571429,5.0
co,t,5.402902557014513,5.0
nj,t,5.5580009170105455,5.0
sd,t,5.12396694214876,5.0
in,t,5.456367924528302,5.0
ga,t,5.5522174535050075,5.0
mo,t,5.426844014510278,5.0
al,t,5.586638830897703,5.0
nd,t,4.991228070175438,5.0
ct,t,5.567383918459796,5.0
hi,t,5.396963123644252,5.0
mn,t,5.4511627906976745,5.0
ca,t,5.471793186548362,5.0
nh,t,5.365714285714286,5.0
tn,t,5.515579071134627,5.0
mi,t,5.295989393437189,5.0
nc,t,5.5553892215568865,5.0
id,t,5.245614035087719,5.0
me,t,5.597051597051597,5.0
wv,t,5.238095238095238,5.0
oh,t,5.522095959595959,5.0
fl,t,5.463953488372093,5.0
md,t,5.414237288135594,5.0
ar,t,5.4434993924665855,5.0
sc,t,5.558578987150415,5.0
ak,t,5.129943502824859,5.0
ri,t,5.344,5.0
